"slot","age","year","unit","season","area","iter","data","units"
"index","1",1985,"unique","all","unique","1",876.583445427118,""
"index","2",1985,"unique","all","unique","1",811.506185252669,""
"index","3",1985,"unique","all","unique","1",777.474969900782,""
"index","4",1985,"unique","all","unique","1",425.536388602432,""
"index","5",1985,"unique","all","unique","1",196.767521265068,""
"index","6",1985,"unique","all","unique","1",85.9285301512316,""
"index","7",1985,"unique","all","unique","1",0,""
"index","8",1985,"unique","all","unique","1",0,""
"index","9",1985,"unique","all","unique","1",20.685261179745,""
"index","10",1985,"unique","all","unique","1",47.315080837182,""
"index","1",1986,"unique","all","unique","1",3478.06798901769,""
"index","2",1986,"unique","all","unique","1",1732.16281587792,""
"index","3",1986,"unique","all","unique","1",646.235865755125,""
"index","4",1986,"unique","all","unique","1",406.381400829912,""
"index","5",1986,"unique","all","unique","1",276.404976499689,""
"index","6",1986,"unique","all","unique","1",103.531150506901,""
"index","7",1986,"unique","all","unique","1",60.1099183220488,""
"index","8",1986,"unique","all","unique","1",0,""
"index","9",1986,"unique","all","unique","1",27.282463433994,""
"index","10",1986,"unique","all","unique","1",71.7964899237532,""
"index","1",1987,"unique","all","unique","1",698.701652689561,""
"index","2",1987,"unique","all","unique","1",2173.15127475201,""
"index","3",1987,"unique","all","unique","1",491.873965411302,""
"index","4",1987,"unique","all","unique","1",178.110232472893,""
"index","5",1987,"unique","all","unique","1",162.774496477432,""
"index","6",1987,"unique","all","unique","1",119.390959687115,""
"index","7",1987,"unique","all","unique","1",97.4101323503671,""
"index","8",1987,"unique","all","unique","1",88.4464244290356,""
"index","9",1987,"unique","all","unique","1",5.60445696707391,""
"index","10",1987,"unique","all","unique","1",6.11199044583636,""
"index","1",1988,"unique","all","unique","1",7146.7979814284,""
"index","2",1988,"unique","all","unique","1",835.552320765972,""
"index","3",1988,"unique","all","unique","1",766.044565192885,""
"index","4",1988,"unique","all","unique","1",227.005744472765,""
"index","5",1988,"unique","all","unique","1",86.1975952543348,""
"index","6",1988,"unique","all","unique","1",81.1520987882328,""
"index","7",1988,"unique","all","unique","1",70.2215505101953,""
"index","8",1988,"unique","all","unique","1",41.702798262484,""
"index","9",1988,"unique","all","unique","1",15.4143541417787,""
"index","10",1988,"unique","all","unique","1",26.8593862949707,""
"index","1",1989,"unique","all","unique","1",2160.91543194753,""
"index","2",1989,"unique","all","unique","1",6189.88199617161,""
"index","3",1989,"unique","all","unique","1",653.133254752344,""
"index","4",1989,"unique","all","unique","1",554.725436339994,""
