"slot","age","year","unit","season","area","iter","data","units"
"index","1",1970,"unique","all","unique","1",5410.3,"numbers/100h"
"index","2",1970,"unique","all","unique","1",734.4,"numbers/100h"
"index","3",1970,"unique","all","unique","1",237.7,"numbers/100h"
"index","4",1970,"unique","all","unique","1",35.4,"numbers/100h"
"index","5",1970,"unique","all","unique","1",4,"numbers/100h"
"index","6",1970,"unique","all","unique","1",0,"numbers/100h"
"index","1",1971,"unique","all","unique","1",902.7,"numbers/100h"
"index","2",1971,"unique","all","unique","1",1831.1,"numbers/100h"
"index","3",1971,"unique","all","unique","1",113.4,"numbers/100h"
"index","4",1971,"unique","all","unique","1",2.9,"numbers/100h"
"index","5",1971,"unique","all","unique","1",28.9,"numbers/100h"
"index","6",1971,"unique","all","unique","1",0,"numbers/100h"
"index","1",1972,"unique","all","unique","1",1454.7,"numbers/100h"
"index","2",1972,"unique","all","unique","1",272.3,"numbers/100h"
"index","3",1972,"unique","all","unique","1",148.6,"numbers/100h"
"index","4",1972,"unique","all","unique","1",0,"numbers/100h"
"index","5",1972,"unique","all","unique","1",28.3,"numbers/100h"
"index","6",1972,"unique","all","unique","1",0,"numbers/100h"
"index","1",1973,"unique","all","unique","1",5587.2,"numbers/100h"
"index","2",1973,"unique","all","unique","1",935.3,"numbers/100h"
"index","3",1973,"unique","all","unique","1",83.8,"numbers/100h"
"index","4",1973,"unique","all","unique","1",37.3,"numbers/100h"
"index","5",1973,"unique","all","unique","1",13,"numbers/100h"
"index","6",1973,"unique","all","unique","1",0,"numbers/100h"
"index","1",1974,"unique","all","unique","1",2347.9,"numbers/100h"
"index","2",1974,"unique","all","unique","1",361.4,"numbers/100h"
"index","3",1974,"unique","all","unique","1",65.2,"numbers/100h"
"index","4",1974,"unique","all","unique","1",0,"numbers/100h"
"index","5",1974,"unique","all","unique","1",0,"numbers/100h"
"index","6",1974,"unique","all","unique","1",4.4,"numbers/100h"
"index","1",1975,"unique","all","unique","1",525.4,"numbers/100h"
"index","2",1975,"unique","all","unique","1",864.5,"numbers/100h"
"index","3",1975,"unique","all","unique","1",177,"numbers/100h"
"index","4",1975,"unique","all","unique","1",17.5,"numbers/100h"
"index","5",1975,"unique","all","unique","1",0,"numbers/100h"
"index","6",1975,"unique","all","unique","1",17.1,"numbers/100h"
"index","1",1976,"unique","all","unique","1",1399.4,"numbers/100h"
"index","2",1976,"unique","all","unique","1",73.6,"numbers/100h"
"index","3",1976,"unique","all","unique","1",229.1,"numbers/100h"
"index","4",1976,"unique","all","unique","1",26.7,"numbers/100h"
