"slot","age","year","unit","season","area","iter","data","units"
"catch","all",1957,"unique","all","unique","1",12064.4412783524,"tonnes"
"catch","all",1958,"unique","all","unique","1",14284.0921842704,"tonnes"
"catch","all",1959,"unique","all","unique","1",13829.2176004224,"tonnes"
"catch","all",1960,"unique","all","unique","1",18617.6610742814,"tonnes"
"catch","all",1961,"unique","all","unique","1",23563.8045377682,"tonnes"
"catch","all",1962,"unique","all","unique","1",26874.7776719819,"tonnes"
"catch","all",1963,"unique","all","unique","1",26161.3480809996,"tonnes"
"catch","all",1964,"unique","all","unique","1",11339.3796990701,"tonnes"
"catch","all",1965,"unique","all","unique","1",17040.4935353616,"tonnes"
"catch","all",1966,"unique","all","unique","1",33336.9365711731,"tonnes"
"catch","all",1967,"unique","all","unique","1",33435.5715761641,"tonnes"
"catch","all",1968,"unique","all","unique","1",33175.9696468488,"tonnes"
"catch","all",1969,"unique","all","unique","1",27556.0334743535,"tonnes"
"catch","all",1970,"unique","all","unique","1",19680.8800758818,"tonnes"
"catch","all",1971,"unique","all","unique","1",23648.5927163501,"tonnes"
"catch","all",1972,"unique","all","unique","1",21082.5156247571,"tonnes"
"catch","all",1973,"unique","all","unique","1",19304.0875762567,"tonnes"
"catch","all",1974,"unique","all","unique","1",17985.6466045057,"tonnes"
"catch","all",1975,"unique","all","unique","1",20768.5462160276,"tonnes"
"catch","all",1976,"unique","all","unique","1",17321.861061329,"tonnes"
"catch","all",1977,"unique","all","unique","1",17999.6132253656,"tonnes"
"catch","all",1978,"unique","all","unique","1",20275.9525572288,"tonnes"
"catch","all",1979,"unique","all","unique","1",22593.8719955527,"tonnes"
"catch","all",1980,"unique","all","unique","1",15802.2093877495,"tonnes"
"catch","all",1981,"unique","all","unique","1",15399.1217679529,"tonnes"
"catch","all",1982,"unique","all","unique","1",21574.4102274485,"tonnes"
"catch","all",1983,"unique","all","unique","1",24923.4496142373,"tonnes"
"catch","all",1984,"unique","all","unique","1",26835.5544195621,"tonnes"
"catch","all",1985,"unique","all","unique","1",24244.268401182,"tonnes"
"catch","all",1986,"unique","all","unique","1",18196.7625145922,"tonnes"
"catch","all",1987,"unique","all","unique","1",17364.65229449,"tonnes"
"catch","all",1988,"unique","all","unique","1",21586.2135630797,"tonnes"
"catch","all",1989,"unique","all","unique","1",21800.8617464108,"tonnes"
"catch","all",1990,"unique","all","unique","1",35116.9010516754,"tonnes"
"catch","all",1991,"unique","all","unique","1",33510.224319406,"tonnes"
"catch","all",1992,"unique","all","unique","1",29337.8801501017,"tonnes"
"catch","all",1993,"unique","all","unique","1",31487.8811491685,"tonnes"
"catch","all",1994,"unique","all","unique","1",32999.0972087588,"tonnes"
"catch","all",1995,"unique","all","unique","1",30465.253199182,"tonnes"
"catch","all",1996,"unique","all","unique","1",22647.4189859269,"tonnes"
"catch","all",1997,"unique","all","unique","1",14898.772473638,"tonnes"
"catch","all",1998,"unique","all","unique","1",20864.5324864525,"tonnes"
